morpheme,variant,nb,type,transitivity,nature,number,compositionRoot,plural,intransSuffix,transSuffix,antipassive,engMean,freMean,dialect,combination,root,rootNb,rootType,END
pitiksaq,,1,v,i,,,,,,nil,,to suddenly let go of s.t. held taut,laisser soudainement aller quelque chose qui �tait retenu fermement,,,,,,.
pitiktaq,,1,v,t,,,,,,,i/1vv,[-R]to /shoot at s.t. with bow and arrow,[-R]/tirer-sur qqn avec un arc et des fl�ches,,,,,,.
pitti,,1,v,i,,,,,,,,to compose a song or lyric,composer une chanson ou des paroles de chanson,,,pisiq,1,n,.
pitturluk,,1,v,i,,,,,,,,to walk lamely or with a defect,marcher en boitant,,,pisuk,1,v,.
pujat,,1,v,i,a,,,,,,,"to be rancid and congealed, speaking of grease or oil; to be covered with rancid yellow grease","�tre rance et congel�e, en parlant de graisse ou d'huile; �tre couvert de graisse rance jaune",,,puja,1,n,.
pujuulatti,,1,v,i,,,,,,,,to smoke tobacco,fumer du tabac,,,pujuq,1,n,.
pujuuq,,1,v,i,,,,,,,,to steam,d�gager de la vapeur,,,pujuq,1,n,.
pukuluk,,1,v,i,,,,,,nil,,to gobble or swallow s.t. whole,avaler quelque chose tout rond,,,pukuk,1,v,.
puviksukaq,,1,v,i,,,,,,,,to make the characteristic noise of sled runners or others pulled or rolled over the snow,�mettre le son caract�ristique de patins de tra�neau ou de quelque chose qui est tir� ou roul� sur la neige,,,,,,.
puviksulaaq,,1,v,i,,,,,,,,to make the characteristic noise of sled runners or others pulled or rolled over the snow,�mettre le son caract�ristique de patins de tra�neau ou de quelque chose qui est tir� ou roul� sur la neige,,,,,,.
puvit,,1,v,i,a,,,,,,,to be swollen or puffed up,"�tre enfl�, gonfl�",,,puviq,1,v,.
qaggimiu,qaggimiuq,1,v,i,,,,,,,,"to feast, to make merry together","f�ter, festoyer ensemble",,,qaggi,1,v,.
qaiqqaq,,1,v,t,,,,,,,si/1vv,"[-R]to /polish, /smooth, /plane s.t.","[-R]/polir, /lisser, /aplanir qqch.",,,qaiq,1,v,.
qairat,,1,v,i,a,,,,,,,to be smooth-surfaced,avoir une surface lisse,,,qaiq,1,v,.
qala,,1,v,t,,,,,,,si/1vv,[T]to lay on top of s.o.; to smother s.o. by laying on him [P]to be lain upon or smothered by being lain upon,[T]�tre couch� ou assis sur qqn; �touffer qqn en �tant couch� ou assis dessus[P]avoir quelqu'un couch� ou assis sur soi; �tre �touff� par quelqu'un couch� ou assis sur soi,,qaa/1n+?,,,,.
qalaiq,,1,v,i,,,,,,,,"to swirl or churn in bubbles, speaking of water","tourbillonner ou faire des remous en faisant des bulles, en parlant de l'eau",,,qalaaq,1,v,.
qalliq,,1,v,t,,,,,,,si/1vv,"to /cover, to /paint s.t.","/recouvrir, /peindre qqch.",,,qaa,1,n,.
qalluti,,1,v,i,,,,,,,,"to go over the top of one's boots, speaking of the water","passer par-dessus le dessus des bottes, en parlant de l'eau",,,qaa,1,n,.
qaplursuq,,1,v,i,,,,,,,,to blink,cligner des yeux,,,qablu,1,n,.
qatigaq,,1,v,i,,,,,,,,"to show only one's back while floating on the water, speaking of the seal","ne montrer que le dos en flottant sur l'eau, en parlant du phoque",,,qatigak,1,n,.
qatigiijaq,,1,v,i,,,,,,,,"to sleep floating on the water, speaking of the seal","dormir en flottant � la surface de l'eau, en parlant du phoque",,,qatigak,1,n,.
qatigiq,,1,v,i,,,,,,,,to float with upper body or back out of the water,flotter avec le haut du corps ou le dos hors de l'eau,,,qatigak,1,n,.
qauma,qaumaq,1,v,i,a,,,,,,,"to be light, bright, illuminated","�tre clair, lumineux, illumin�",,,qauk,1,v,.
