morpheme,nb,type,function,position,transitivity,nature,plural,antipassive,V-form,V-action1,V-action2,t-form,t-action1,t-action2,k-form,k-action1,k-action2,q-form,q-action1,q-action2,engMean,freMean,condPrec,condPrecTrans,condOnNext,sources,combination,dialect,mobility
apik,1,sn,nn,t,,,,,apik,n,i(ra),apik,s,i(ra),apik,s,i(ra),apik,s,i(ra),diminutiveness; 'small'; 'sweet'; 'nice',diminutif; 'petit'; 'cher'; 'gentil',,,,H1,,,m
aq,1,sn,nv,m,i,,,,-,-,,aq,s,,-,-,,-,-,,arrival at a place: 'go to',arriv�e � un endroit: 'aller �',cas:dat,,,H1,,,m
aq,2,sn,nv,m,t,,,si/1vv ri/1vv,aq,n,,aq,s,,aq,s,,aq,s,,1) to spread s.t. (a substance) on s.t. 2) to hurt s.o. on a body part; 3) to break s.o.'s thing,,,,,H1,,,m
arjuk,1,sn,nn,t,,,,,arjuk,n,i(ra),arjuk,s,i(ra),arjuk arjuk,s s,i(ra) i(ga),arjuk,s,i(ra),smallness; 'small',petitesse; 'petit(e)',,,,H1 A1,,,m
arjuk,2,sv,vv,m,n,,,,arjuk,n,i(ra),arjuk,s,i(ra),arjuk arjuk,s s,i(ra) i(ga),arjuk,s,i(ra),a little,un peu,,,,A1,,,m
gai,1,sv,vv,m,n,,,,gai gaik,n n,,gai gaik,n n,,gai gaik kaik,fus fus n,,rai raik,fus fus,,whenever,"chaque fois que, lorsque",,,,,,,m
gajuk,1,sv,vv,m,n,,,,gajuk,n,,gajuk,s,,gajuk,fus,,rajuk,fus,,"expresses more than regular action: 'frequently', 'always'","exprime une action plus que r�guli�re: 'fr�quemment', 'toujours'",,,,A1,,,m
galaq,1,sn,nn,m,,,,,galaq,n,,galaq,s,,galaq,s,,galaq,s,,collectiveness; characteristic,"ensemble de gens, de choses; caract�ristique",,,number:p,,,Cumberland,m
galuaq,2,sv,vn,t,,,,,galuaq,n,,kaluaq,a,,kaluaq,fus,,raluaq,fus,,really; actually,vraiment; en fait,,,,H1,,,m
galuaq,1,sv,vv,m,n,,,,galuaq,n,,kaluaq,a,,kaluaq,fus,,raluaq,fus,,really; actually,vraiment; en fait,,,,H1,,,m
gaq,1,sv,vn,t,,,,,gaq,n,,gaq,s,,gaq,s,,gaq,s,,forms a noun with an inherently passive meaning: someone/something that one ...,forme un nom avec un sens inh�rent passif: quelqu'un/quelque chose que l'on ...,type:v function:nv function:vv,,,H1,,,m
gaq,2,sv,vv,m,t,,,i/1vv si/1vv,gaq,n,,gaq,s,,gaq,s,,gaq,s,,frequentative: several times,nil,,,,S1,,,m
ggiq,1,sn,nv,m,i,,,,ggiq,n,,ggiq,s,,ggiq,s,,ggiq,s,,bring along with,emmener avec soi,type:n function:vn function:nn,,,H1,,,m
gi,1,sn,nv,m,t,,,,gi,n,,gi,i(i),,gi,fus,,ri,fus,,have as; possess; have as relation; use as; consider or treat as,avoir comme; poss�der; avoir pour (relation); utiliser comme; consid�rer ou traiter comme,type:n function:nn function:vn,,,H1,,,m
gi,2,sv,vv,m,n,,,,gi,n,,ni ki,a n,,ki gi,n s,,ri,fus,,again,encore; de nouveau,type:v function:nv function:vv,,mode:int mode:dec,H1,,,m
gi,4,sv,vv,m,t,,,,gi,n,,gi,s,,gi,fus,,ri,fus,,added to [[gi verb(s)]] to use them transitively,ajout� aux verbes 'gi' pour les utiliser transitivement,"type:v,transinfix:gi/4vv",i,,H1,,,m
gi,3,sv,vv,m,t,,,,gi,n,,gi,s,,gi,fus,,ri,fus,,"to find, consider s.t. or s.o. ...","trouver, consid�rer qqn ou qqch. ...","type:v,nature:a",,,H1,,,m
giaq,2,sv,vn,t,,,,,giaq,n,,giaq,s,,giaq,fus,,riaq,fus,,which has a natural tendency to,qui a une tendance naturelle �,,,,A1,,,m
giaq,3,sv,vn,t,,,,,giaq,n,,giaq,s,,giaq,s,,riaq,fus,,the fact of,le fait de,,,,S1,,,m
giaq,1,sv,vv,m,n,,,ri/1vv,giaq,n,,giaq,s,,giaq,fus,,riaq,fus,,commencement of action: 'begin to',commencement de l'action: 'commencer �',,,,H1,,,m
giik,1,sn,nn,t,,,,,giik,n,,giik,i(i),,giik,fus,,riik,fus,,"a pair of two (or a group of three or more, in the plural) people or things; if of unequal importance or strength, the stem denotes the lesser of the two","une paire (ou un groupe de trois ou plus, au pluriel) de personnes ou de choses; si d'importances ou de forces in�gales, le radical d�signe celui de moindre importance ou force",type:n function:vn function:nn,,,H1,,,m
giik,2,sn,nv,m,i,a,,,giik,n,,giik,i(i),,giik,fus,,riik,fus,,"to be mutually the same; if of unequal importance or strength, the stem denotes the lesser of the two","�tre mutuellement la m�me chose; si d'importances ou de forces in�gales, le radical d�signe celui de moindre importance ou force",type:n function:vn function:nn,,,,,,m
gik,1,sn,nv,m,i,a,,,gik,n,,gik,s,,gik,fus,,rik,fus,,to have good ...,avoir de bons ...,type:n function:vn function:nn,,,A1,,,m
guk,1,sn,nv,m,i,a,,,guk guq,n n,,guk guq,s s,,guk guq,fus fus,,ruk ruq,fus fus,,to be desirous of the fulfillment of a physical or sensual need,avoir envie ou besoin d'assouvir un besoin physique ou sensuel,type:n function:vn function:nn,,,H1 A1,,,m
gulu,1,sn,nn,t,,,,,gulu,n,,gulu,s,,gulu,s,,gulu,s,,terrible; wretched,affreux; d�glingu�; mis�rable,,,,H1,,,m
guq,2,sn,nv,m,t,,,i/1vv,guq,n,,guq,s,,guq,fus,,ruq,fus,,to make s.o. (refl.: oneself = to mature) become more of what one already is,rendre qqn (r�fl.: soi-m�me = devenir) plus ce qu'on est d�j�,type:n function:vn function:nn,,,S1,,,m
gusuk,1,sv,vv,m,i,,,,gusuk,n,,gusuk,s,,gusuk,fus,,rusuk,fus,,added to [[gi verb(s)]] to use them intransitively,ajout� aux verbes 'gi' pour les utiliser intransitivement,"type:v,intransinfix:gusuk/1vv",i,,H1,,,m
gusuk,2,sv,vv,m,n,,,,gusuk,n,,gusuk,s,,gusuk,fus,,rusuk,fus,,"to like, to want to do s.t.; to be disposed or about to do s.t.",ajout� aux verbes 'gi' pour les utiliser intransitivement,"type:v,!intransinfix:gusuk/1vv",,,H1,,,m
guuq,1,q,q,f,,,,,guuq,n,,guuq,a,,guuq,fus,,ruuq,fus,,reporting discourse: 'he/she said',rapport d'un discours: 'il/elle a dit',,,,H1 A1,,,m
i,1,sv,vv,m,i,,,,i,n,,i,s,,i,s,,i,s,,"added to transitive verb stems such that they retain their transitive sense when followed by intransitive infixes or endings, to avoid their otherwise reflexive or passive senses","ajout� � des radicaux verbaux transitifs afin qu'ils conservent leur sens transitif lorsqu'ils sont suivis d'infixes ou de terminaisons intransitives, pour emp�cher qu'ils prennent autrement leurs sens r�fl�chis ou passifs",antipassive:i/1vv,t,,H1,,,m
ijaq,1,sn,nv,m,t,,,i/1vv,ijaq,n,i(ng),ijaq,i(a),,ijaq,s,i(ng),ijaq,s,i(ng),to remove; to have something removed; coldness of (when used with body parts),enlever; avoir quelque chose d'enlev�; 'avoir froid � ses ...' (lorsqu'utilis� avec une partie du corps),,,,H1,,,m
ilaak,1,q,q,,,,,,ilaak,n,decap,ilaak,nas,,ilaak,nas,,ilaak,nas,,"marker of reaffirmation: ""so"", ""indeed""","marque la r�affirmation: ""ainsi"", ""alors""",,,,A1,,,m
ilitaq,1,sn,nn,t,,,,,ilitaq ilitaq,n n,s i(ng),ilitaq,i(a),,ilitaq,s,s,ilitaq,s,s,protection for part of body; protection against something,protection pour une partie du corps; protection contre quelque chose,,,,A1,,,m
illi,1,sn,nv,m,t,,,i/1vv,illi,n,i(ng),illi,i(a),,illi,s,i(ng),illi,s,i(ng),to break or to seriously impair a body part,se briser ou s�rieusement se blesser � une partie du corps,,,,H1,,,m
innaq,1,sn,nn,t,,,,,innaq,n,i(ng),innaq,s,i(ng),innaq,s,i(ng),innaq,s,i(ng),"exclusiveness: 'just', 'only'","exclusivit�: 'juste', 'seulement'",,,,H1,,,m
innaq,2,sv,vv,m,n,,,,innaq,n,i(ng),innaq,s,i(ng),innaq,s,i(ng),innaq,s,i(ng),to do nothing but; to do always; exclusively,ne rien faire d'autre que; toujours; exclusivement,,,,H1,,,m
innaujaq,1,sv,vv,m,n,,,,innaujaq,n,i(ng),innaujaq,s,i(ng),innaujaq,s,i(ng),innaujaq,s,i(ng),"to seem to do nothing but, to always do","avoir l'air de ne faire que, de toujours faire",,,,H1,,,m
